date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover,halt
2013-11-20,8.06,8.08,7.79,7.73,449369.62,-0.23,-2.87,7.888,7.971,8.338,337096.57,301484.11,304413.83,3.28,0
2013-11-21,7.79,7.99,7.93,7.61,292355.12,0.14,1.8,7.928,7.94,8.302,342024.9,314156.83,296996.18,2.14,0
2013-11-22,7.95,7.95,7.8,7.78,205793.53,-0.13,-1.64,7.916,7.889,8.255,313532.09,322319.38,291884.71,1.5,0
2013-11-25,7.82,8.09,7.95,7.75,230944.5,0.15,1.92,7.898,7.863,8.225,287005.57,319383.38,288410.75,1.69,0
2013-11-26,7.9,8.66,8.49,7.9,535402.31,0.54,6.79,7.992,7.926,8.202,342773.02,332899.92,299840.26,3.91,0
2013-11-27,8.38,8.55,8.47,8.31,249534.45,-0.02,-0.24,8.128,8.008,8.192,302805.98,319951.27,298412.9,1.82,0
2013-11-28,8.44,8.55,8.5,8.39,198551.89,0.03,0.35,8.242,8.085,8.177,284045.34,313035.12,298119.07,1.45,0
2013-11-29,8.55,8.77,8.5,8.44,190752.59,0.0,0.0,8.382,8.149,8.163,281037.15,297284.62,295585.2,1.39,0
2013-12-02,8.5,8.5,8.03,8.02,290190.69,-0.47,-5.53,8.398,8.148,8.126,292886.39,289945.98,298831.6,2.12,0
2013-12-03,8.02,8.38,8.28,7.98,125922.54,0.25,3.11,8.356,8.174,8.107,210990.43,276881.72,283534.26,0.92,0
2013-12-04,8.29,8.56,8.42,8.29,134174.05,0.14,1.69,8.346,8.237,8.104,187918.35,245362.17,273423.14,0.98,0
2013-12-05,8.47,8.56,8.4,8.37,195569.06,-0.02,-0.24,8.326,8.284,8.112,187321.79,235683.56,274920.2,1.43,0
2013-12-06,8.4,8.46,8.36,8.28,84799.34,-0.04,-0.48,8.298,8.34,8.115,166131.14,223584.14,272951.76,0.62,0
2013-12-09,8.39,8.55,8.28,8.18,293819.56,-0.08,-0.96,8.348,8.373,8.118,166856.91,229871.65,274627.51,2.15,0
2013-12-10,8.27,8.78,8.6,8.22,411758.47,0.32,3.87,8.412,8.384,8.155,224024.1,217507.26,275203.59,3.01,0
2013-12-11,8.45,8.66,8.55,8.45,206748.5,-0.05,-0.58,8.438,8.392,8.2,238538.99,213228.67,266589.97,1.51,0
2013-12-12,8.55,8.62,8.49,8.48,126811.72,-0.06,-0.7,8.456,8.391,8.238,224787.52,206054.65,259544.89,0.93,0
2013-12-13,8.43,8.52,8.36,8.32,122597.81,-0.13,-1.53,8.456,8.377,8.263,232347.21,199239.17,248261.9,0.9,0
2013-12-16,8.38,8.55,8.27,8.25,132701.17,-0.09,-1.08,8.454,8.401,8.275,200123.53,183490.22,236718.1,0.97,0
2013-12-17,8.23,8.3,8.06,7.9,166866.2,-0.21,-2.54,8.346,8.379,8.277,151145.08,187584.59,232233.16,1.22,0
2013-12-18,8.1,8.19,8.03,7.95,63401.99,-0.03,-0.37,8.242,8.34,8.289,122475.78,180507.38,212934.77,0.46,0
2013-12-19,8.08,8.12,8.0,7.96,68915.36,-0.03,-0.37,8.144,8.3,8.292,110896.51,167842.01,201762.79,0.5,0
2013-12-20,8.0,8.05,8.02,7.81,94556.04,0.02,0.25,8.076,8.266,8.303,105288.15,168817.68,196200.91,0.69,0
2013-12-23,8.04,8.08,8.01,7.81,75660.82,-0.01,-0.12,8.024,8.239,8.306,93880.08,147001.81,188436.73,0.55,0
2013-12-24,8.01,8.17,8.0,7.91,100234.87,-0.01,-0.12,8.012,8.179,8.282,80553.82,115849.45,166678.36,0.73,0
2013-12-25,8.03,8.11,7.96,7.9,94468.9,-0.04,-0.5,7.998,8.12,8.256,86767.2,104621.49,158925.08,0.69,0
2013-12-26,7.9,7.99,7.83,7.75,86354.28,-0.13,-1.63,7.964,8.054,8.223,90254.98,100575.74,153315.2,0.63,0
2013-12-27,7.88,8.04,7.96,7.81,98790.33,0.13,1.66,7.952,8.014,8.196,91101.84,98195.0,148717.09,0.72,0
2013-12-30,7.99,8.38,8.3,7.95,233044.08,0.34,4.27,8.01,8.017,8.209,122578.49,108229.29,145859.75,1.7,0
2013-12-31,8.22,8.47,8.42,8.18,265054.12,0.12,1.45,8.094,8.053,8.216,155542.34,118048.08,152816.33,1.93,0
2014-01-02,8.37,8.37,8.31,8.23,84894.91,-0.11,-1.31,8.164,8.081,8.211,153627.54,120197.37,150352.38,0.62,0
2014-01-03,8.25,8.42,8.27,8.22,102036.39,-0.04,-0.48,8.252,8.108,8.204,156763.97,123509.47,145675.74,0.74,0
2014-01-06,8.27,8.27,7.94,7.89,96894.51,-0.33,-3.99,8.248,8.1,8.183,156384.8,123743.32,146280.5,0.71,0
2014-01-07,7.84,8.09,8.01,7.82,46452.68,0.07,0.88,8.19,8.1,8.17,119066.52,120822.51,133912.16,0.34,0
2014-01-08,8.0,8.13,8.0,7.96,80636.59,-0.01,-0.12,8.106,8.1,8.14,82183.02,118862.68,117356.06,0.59,0
2014-01-09,7.91,8.08,7.96,7.91,186944.45,-0.04,-0.5,8.036,8.1,8.11,102592.92,128110.23,116365.86,1.36,0
2014-01-10,7.95,8.05,8.0,7.7,115712.73,0.04,0.5,7.982,8.117,8.086,105328.19,131046.08,115810.91,0.84,0
